Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,8.778666,8.833333,8.773333,8.832000,7.425352,208125
1996-01-02,8.832000,9.013333,8.400000,8.720000,7.331190,1623750
1996-01-03,8.720000,8.880000,8.626666,8.658666,7.279624,721875
1996-01-04,8.658666,8.653333,8.400000,8.568000,7.203397,620625
1996-01-05,8.568000,8.640000,8.506666,8.546666,7.185463,350625
1996-01-08,8.546666,8.520000,8.373333,8.400000,7.062154,645000
1996-01-09,8.400000,8.493333,8.296000,8.422666,7.081210,903750
1996-01-10,8.422666,8.613333,8.426666,8.492000,7.139503,455625
1996-01-11,8.492000,8.613333,8.486666,8.578666,7.212365,110625
1996-01-12,8.800000,8.800000,8.660000,8.728000,7.337916,543750
1996-01-15,8.728000,8.713333,8.520000,8.688000,7.304286,436875
1996-01-16,8.688000,9.333333,8.693333,8.948000,7.522877,746250
1996-01-17,8.948000,8.826666,8.700000,8.709333,7.322221,270000
1996-01-18,8.709333,8.746666,8.586666,8.694666,7.309890,163125
1996-01-19,8.694666,8.772000,8.660000,8.721333,7.332309,183750
1996-01-22,8.721333,8.853333,8.686666,8.826666,7.420865,318750
1996-01-23,8.826666,8.826666,8.400000,8.504000,7.149590,376875
1996-01-24,8.504000,8.505333,7.893333,8.030666,6.751644,556875
1996-01-25,8.030666,8.133333,7.894666,7.921333,6.659724,245625
1996-01-26,7.921333,7.921333,7.921333,7.921333,6.659724,0
1996-01-29,7.921333,8.120000,7.840000,8.074666,6.788634,298125
1996-01-30,8.074666,8.253333,7.840000,7.941333,6.676538,451875
1996-01-31,7.941333,8.133333,8.001333,8.073333,6.787514,183750
1996-02-01,8.073333,8.333333,7.894666,8.312000,6.988172,198750
1996-02-02,8.312000,8.640000,8.017333,8.429333,7.086815,221250
1996-02-05,8.429333,8.666666,8.293333,8.466666,7.118203,851250
1996-02-06,8.466666,8.800000,8.533333,8.554666,7.192188,211875
1996-02-07,8.554666,8.853333,8.434666,8.829333,7.423110,549375
1996-02-08,8.800000,8.933333,8.720000,8.898666,7.481399,225000
1996-02-09,8.898666,9.493333,8.960000,9.261333,7.786307,450000
1996-02-12,9.261333,9.386666,9.120000,9.121333,7.668603,226875
1996-02-13,9.121333,9.200000,8.906666,9.178666,7.716806,159375
1996-02-14,9.178666,9.600000,9.200000,9.260000,7.785185,185625
1996-02-15,9.260000,9.278666,9.117333,9.146666,7.689903,133125
1996-02-16,9.146666,9.200000,9.042666,9.142666,7.686537,178125
1996-02-19,9.142666,9.986666,9.118666,9.406666,7.908492,487500
1996-02-20,9.406666,9.600000,9.360000,9.422666,7.921942,226875
1996-02-21,9.422666,9.422666,9.422666,9.422666,7.921942,0
1996-02-22,9.422666,9.868000,9.453333,9.746666,8.194343,414375
1996-02-23,9.746666,10.133333,9.880000,10.024000,8.427504,403125
1996-02-26,10.024000,10.613333,10.026666,10.557333,8.875897,843750
1996-02-27,10.557333,10.453333,9.986666,10.100000,8.491401,618750
1996-02-28,10.100000,10.386666,9.948000,9.972000,8.383784,588750
1996-02-29,9.972000,9.893333,9.680000,9.726666,8.177527,384375
1996-03-01,9.726666,9.866666,9.586666,9.768000,8.212277,206250
1996-03-04,9.786666,10.080000,9.733333,9.988000,8.397241,352500
1996-03-05,9.988000,9.988000,9.988000,9.988000,8.397241,0
1996-03-06,9.988000,10.240000,9.866666,10.093333,8.485795,566250
1996-03-07,10.093333,10.280000,10.000000,10.117333,8.505974,1591875
1996-03-08,10.117333,10.106666,9.949333,10.004000,8.410691,1136250
1996-03-11,10.004000,9.892000,9.733333,9.848000,8.279534,210000
1996-03-12,9.848000,9.866666,9.733333,9.781333,8.223487,159375
1996-03-13,9.781333,9.960000,9.780000,9.930666,8.349036,76875
1996-03-14,9.930666,10.178666,9.973333,10.121333,8.509337,320625
1996-03-15,10.121333,10.266666,10.032000,10.137333,8.522786,435000
1996-03-18,10.137333,10.198666,10.026666,10.133333,8.519425,510000
1996-03-19,10.133333,10.264000,10.026666,10.158666,8.540723,427500
1996-03-20,10.158666,10.158666,10.158666,10.158666,8.540723,0
1996-03-21,10.158666,10.400000,10.266666,10.360000,8.709991,185625
1996-03-22,10.360000,10.372000,10.160000,10.318666,8.675239,298125
1996-03-25,10.318666,10.400000,10.240000,10.260000,8.625917,245625
1996-03-26,10.260000,10.386666,10.226666,10.309333,8.667391,206250
1996-03-27,10.309333,10.560000,10.320000,10.542666,8.863564,399375
1996-03-28,10.542666,10.666666,10.566666,10.640000,8.945397,67500
1996-03-29,10.640000,10.793333,10.546666,10.561333,8.879260,163125
1996-04-01,10.561333,10.760000,10.613333,10.665333,8.966695,71250
1996-04-02,10.665333,10.706666,10.560000,10.577333,8.892710,163125
1996-04-03,10.577333,10.797333,10.677333,10.696000,8.992476,125625
1996-04-04,10.696000,10.692000,10.600000,10.616000,8.925219,54375
1996-04-05,10.616000,10.616000,10.616000,10.616000,8.925219,0
1996-04-08,10.693333,10.852000,10.693333,10.786666,9.068705,105000
1996-04-09,10.786666,10.906666,10.660000,10.670666,8.971179,140625
1996-04-10,10.670666,10.798666,10.680000,10.773333,9.057492,112500
1996-04-11,10.773333,10.826666,10.640000,10.825333,9.101211,153750
1996-04-12,10.669333,10.880000,10.669333,10.873333,9.141567,180000
1996-04-15,10.873333,11.146666,10.826666,11.128000,9.355674,258750
1996-04-16,11.128000,11.572000,11.146666,11.484000,9.654975,388125
1996-04-17,11.484000,12.080000,11.733333,11.946666,10.043953,163125
1996-04-18,11.946666,12.186666,11.866666,12.058666,10.138113,350625
1996-04-19,12.058666,12.133333,11.946666,12.037333,10.120179,198750
1996-04-22,12.037333,12.024000,11.333333,11.670666,9.811912,238125
1996-04-23,11.670666,11.600000,11.226666,11.292000,9.493554,258750
1996-04-24,11.786666,11.865333,11.601333,11.741333,9.871324,127500
1996-04-25,11.741333,11.680000,11.466666,11.468000,9.641522,103125
1996-04-26,11.468000,11.626666,11.413333,11.506666,9.674028,95625
