Date,Open,High,Low,Close,Adj Close,Volume
1996-06-04,5.975000,6.070000,5.825000,5.910000,1.927122,188000
1996-06-05,5.800000,5.800000,5.700000,5.735000,1.870059,42000
1996-06-06,5.800000,5.890000,5.710000,5.720000,1.865167,113000
1996-06-07,5.400000,5.700000,5.250000,5.665000,1.847232,120000
1996-06-10,6.000000,6.000000,5.610000,5.740000,1.871688,134000
1996-06-11,5.650000,6.320000,5.620000,6.305000,2.055923,613000
1996-06-12,6.450000,6.900000,6.320000,6.395000,2.085269,831000
1996-06-13,6.300000,6.500000,6.275000,6.340000,2.067335,317000
1996-06-14,6.395000,6.400000,6.325000,6.360000,2.073857,158000
1996-06-17,6.400000,6.545000,6.350000,6.485000,2.114617,741000
1996-06-18,6.450000,6.665000,6.250000,6.495000,2.117878,741000
1996-06-19,6.620000,6.700000,6.200000,6.480000,2.112987,432000
1996-06-20,6.550000,6.550000,6.250000,6.300000,2.054293,167000
1996-06-21,6.250000,6.300000,6.075000,6.100000,1.989076,141000
1996-06-24,6.075000,6.140000,5.855000,5.875000,1.915709,80000
1996-06-25,5.900000,5.900000,5.685000,5.690000,1.855384,155000
1996-06-26,5.655000,5.660000,5.540000,5.565000,1.814625,51000
1996-06-27,5.800000,5.800000,5.355000,5.400000,1.760822,64000
1996-06-28,5.400000,5.800000,5.390000,5.770000,1.881471,213000
1996-07-01,5.700000,5.890000,5.700000,5.825000,1.899405,132000
1996-07-02,5.800000,6.000000,5.715000,5.925000,1.932013,264000
1996-07-03,5.700000,5.700000,5.460000,5.580000,1.819516,71000
1996-07-04,5.455000,5.480000,5.300000,5.480000,1.786908,106000
1996-07-05,5.900000,5.900000,5.225000,5.270000,1.718432,75000
1996-07-08,5.250000,5.255000,5.100000,5.100000,1.662998,49000
1996-07-09,5.100000,5.200000,4.905000,4.995000,1.628760,84000
1996-07-10,4.970000,5.145000,4.970000,5.050000,1.646695,45000
1996-07-11,5.100000,5.200000,5.100000,5.100000,1.662998,26000
1996-07-12,5.050000,5.100000,4.900000,4.985000,1.625500,64000
1996-07-15,4.850000,4.900000,4.600000,4.800000,1.565175,57000
