Date,Open,High,Low,Close,Adj Close,Volume
2003-07-09,164.899994,170.399994,155.000000,164.300003,143.867981,35164284
2003-07-10,167.000000,168.699997,164.500000,167.000000,146.232239,10464179
2003-07-11,167.750000,174.850006,166.250000,173.350006,151.792587,11740117
2003-07-14,174.250000,179.250000,174.250000,177.949997,155.820511,5982324
2003-07-15,200.000000,200.000000,173.000000,176.199997,154.288147,6173689
2003-07-16,176.449997,179.100006,175.350006,177.100006,155.076202,3759085
2003-07-17,177.500000,178.000000,170.649994,172.199997,150.785568,3814181
2003-07-18,165.000000,171.899994,160.000000,167.399994,146.582504,5375212
2003-07-21,169.000000,169.399994,163.050003,164.899994,144.393326,3315845
2003-07-22,164.000000,169.149994,162.100006,167.250000,146.451157,4627992
2003-07-23,170.500000,178.000000,169.800003,174.699997,152.974701,13262249
2003-07-24,175.899994,177.000000,172.850006,174.100006,152.449280,4305936
2003-07-25,174.399994,175.000000,172.100006,173.649994,152.055237,2832967
2003-07-28,188.000000,188.000000,175.100006,178.850006,156.608627,5415867
2003-07-29,179.949997,182.899994,179.100006,180.300003,157.878281,5229181
2003-07-30,181.250000,184.750000,180.100006,181.100006,158.578781,4632246
2003-07-31,181.699997,183.649994,179.649994,180.850006,158.359879,3562717
2003-08-01,182.000000,189.000000,178.750000,187.149994,163.876404,8027285
2003-08-04,187.850006,198.500000,185.000000,197.600006,173.026855,9982429
2003-08-05,199.000000,203.449997,192.850006,193.600006,169.524307,9651327
2003-08-06,191.500000,197.500000,189.850006,191.600006,167.772995,7451054
2003-08-07,193.500000,196.000000,192.250000,195.399994,171.100449,3223676
2003-08-08,197.000000,198.899994,196.000000,197.149994,172.632813,2530289
2003-08-11,198.100006,203.800003,196.000000,202.199997,177.054810,5651311
2003-08-12,203.800003,212.000000,203.500000,210.449997,184.278870,8215213
2003-08-13,213.000000,219.500000,212.000000,217.800003,190.714844,7839204
2003-08-14,223.000000,224.399994,215.000000,216.550003,189.620285,6298655
2003-08-15,216.550003,216.550003,216.550003,216.550003,189.620285,0
2003-08-18,218.100006,221.000000,215.399994,216.899994,189.926758,3382031
2003-08-19,219.850006,219.899994,215.000000,215.649994,188.832199,3080091
2003-08-20,217.399994,226.449997,217.300003,225.000000,197.019470,6049174
2003-08-21,227.000000,228.899994,223.300003,227.949997,199.602600,4012069
2003-08-22,228.050003,232.800003,225.899994,229.300003,200.784729,4436016
2003-08-25,230.000000,231.449997,216.100006,221.050003,193.560669,4827198
2003-08-26,217.000000,235.000000,217.000000,232.449997,203.543030,3968069
2003-08-27,235.399994,237.600006,233.000000,234.300003,205.162933,2267859
2003-08-28,235.750000,235.750000,226.000000,228.050003,199.690201,3554363
2003-08-29,232.050003,238.500000,231.500000,235.399994,206.126129,3212067
2003-09-01,236.399994,237.000000,231.699997,235.550003,206.257492,2478236
2003-09-02,234.850006,234.850006,224.100006,226.550003,198.376740,3975812
2003-09-03,227.100006,231.750000,221.000000,222.800003,195.093048,3945233
2003-09-04,223.000000,225.699997,218.449997,221.550003,193.998489,3682478
2003-09-05,223.899994,230.000000,222.399994,229.300003,200.784729,2971415
2003-09-08,231.000000,233.899994,227.149994,228.750000,200.303131,1817991
2003-09-09,230.000000,235.000000,225.800003,228.199997,199.821503,2034401
2003-09-10,227.750000,230.399994,225.800003,227.800003,199.471268,1476667
2003-09-11,230.000000,230.100006,225.000000,225.649994,197.588638,1092801
2003-09-12,228.000000,228.500000,219.100006,220.350006,192.947784,2496597
2003-09-15,219.000000,221.350006,207.100006,208.350006,182.440048,3469640
2003-09-16,207.000000,210.000000,195.100006,208.500000,182.571365,4004037
2003-09-17,212.500000,219.500000,209.250000,216.050003,189.182510,3800473
2003-09-18,215.899994,215.899994,203.399994,205.600006,180.032028,2813556
2003-09-19,207.000000,210.399994,198.800003,205.750000,180.163361,3442717
2003-09-22,206.000000,212.800003,205.750000,210.699997,184.497757,2575343
2003-09-23,210.300003,214.399994,208.199997,213.149994,186.643112,1766451
2003-09-24,216.000000,221.000000,213.100006,219.949997,192.597488,2133208
2003-09-25,220.100006,220.100006,211.500000,213.699997,187.124710,1916650
2003-09-26,214.399994,217.850006,213.100006,214.800003,188.087936,2531520
2003-09-29,216.000000,229.449997,215.149994,227.199997,198.945892,3711837
2003-09-30,230.000000,233.350006,228.000000,232.550003,203.630600,3594810
2003-10-01,232.000000,233.000000,227.100006,228.449997,200.040436,2402620
2003-10-02,228.449997,228.449997,228.449997,228.449997,200.040436,0
