Date,Open,High,Low,Close,Adj Close,Volume
1996-01-02,10.600000,10.600000,10.600000,10.600000,7.570963,1500
1996-01-03,10.666666,10.666666,10.466666,10.466666,7.475730,3000
1996-01-04,10.466666,10.466666,10.466666,10.466666,7.475730,0
1996-01-05,10.666666,10.666666,10.466666,10.473333,7.480493,6000
1996-01-08,10.333333,10.533333,10.333333,10.533333,7.523345,3000
1996-01-09,10.533333,10.533333,10.533333,10.533333,7.523345,0
1996-01-10,10.066666,10.066666,10.066666,10.066666,7.190033,1500
1996-01-11,10.066666,10.066666,10.066666,10.066666,7.190033,0
1996-01-12,10.066666,10.066666,10.066666,10.066666,7.190033,0
1996-01-15,10.066666,10.066666,10.066666,10.066666,7.190033,0
1996-01-16,10.066666,10.066666,9.666666,9.666666,6.904337,3000
1996-01-17,9.666666,9.666666,9.666666,9.666666,6.904337,0
1996-01-18,9.666666,9.666666,9.466666,9.466666,6.761488,3000
1996-01-19,9.866666,9.866666,9.866666,9.866666,7.047186,1500
1996-01-22,9.866666,9.866666,9.866666,9.866666,7.047186,0
1996-01-23,9.833333,9.883333,9.600000,9.866666,7.047186,15000
1996-01-24,9.866666,9.866666,9.866666,9.866666,7.047186,6000
1996-01-25,10.000000,10.000000,10.000000,10.000000,7.142418,1500
1996-01-26,10.000000,10.000000,10.000000,10.000000,7.142418,0
1996-01-29,9.666666,9.666666,9.666666,9.666666,6.904337,1500
1996-01-30,9.866666,9.900000,9.666666,9.666666,6.904337,12000
1996-01-31,9.833333,9.833333,9.833333,9.833333,7.023376,1500
1996-02-01,10.133333,10.466666,10.133333,10.466666,7.475730,6000
1996-02-02,11.466666,11.466666,11.466666,11.466666,8.189971,1500
1996-02-05,11.466666,11.800000,11.466666,11.716666,8.368533,10500
1996-02-06,11.716666,12.333333,11.670000,11.800000,8.428053,19500
1996-02-07,11.533333,11.533333,11.533333,11.533333,8.237588,1500
1996-02-08,11.533333,11.666666,11.533333,11.593333,8.280442,24000
1996-02-09,12.000000,12.733333,12.000000,12.666666,9.047063,19500
1996-02-12,13.333333,13.333333,13.000000,13.000000,9.285143,6000
1996-02-13,13.000000,13.000000,12.666666,12.666666,9.047063,10500
1996-02-14,13.666666,13.666666,13.100000,13.100000,9.356565,21000
1996-02-15,13.066666,13.066666,13.066666,13.066666,9.332756,1500
1996-02-16,13.000000,13.000000,12.666666,12.700000,9.070869,12000
1996-02-19,12.666666,12.666666,12.666666,12.666666,9.047063,19500
1996-02-20,12.666666,12.800000,12.800000,12.800000,9.142295,7500
1996-02-21,12.800000,12.800000,12.800000,12.800000,9.142295,0
1996-02-22,13.666666,13.666666,12.666666,12.866666,9.189909,9000
1996-02-23,12.866666,13.133333,12.800000,12.926666,9.232763,10500
1996-02-26,12.866666,13.183333,12.866666,12.903333,9.216099,37500
1996-02-27,13.133333,13.333333,13.000000,13.333333,9.523222,36000
1996-02-28,13.666666,13.666666,13.400000,13.533333,9.666070,12000
1996-02-29,13.070000,13.070000,13.066666,13.066666,9.332756,9000
1996-03-01,13.200000,13.466666,13.200000,13.333333,9.523222,19500
1996-03-04,13.333333,13.000000,12.700000,12.940000,9.242288,12000
1996-03-05,12.940000,12.940000,12.940000,12.940000,9.242288,0
1996-03-06,12.940000,13.666666,13.133333,13.666666,9.761303,37500
1996-03-07,13.666666,13.866666,13.666666,13.866666,9.904153,15000
1996-03-08,13.866666,13.916666,13.633333,13.636666,9.739878,12000
1996-03-11,13.636666,13.666666,13.543333,13.633333,9.737496,12000
